State,Year,Population
Alaska,1950,135000
Alaska,1951,158000
Alaska,1952,189000
Alaska,1953,205000
Alaska,1954,215000
Alaska,1955,222000
Alaska,1956,224000
Alaska,1957,231000
Alaska,1958,224000
Alaska,1959,224000
Alaska,1960,229000
Alaska,1961,238000
Alaska,1962,246000
Alaska,1963,256000
Alaska,1964,263000
Alaska,1965,271000
Alaska,1966,271000
Alaska,1967,278000
Alaska,1968,285000
Alaska,1969,296000
Alaska,1970,302583
Alaska,1971,315510
Alaska,1972,324464
Alaska,1973,330543
Alaska,1974,341063
Alaska,1975,376170
Alaska,1976,400969
Alaska,1977,403436
Alaska,1978,404766
Alaska,1979,402753
Alaska,1980,405315
Alaska,1981,418491
Alaska,1982,449606
Alaska,1983,488417
Alaska,1984,513702
Alaska,1985,532495
Alaska,1986,544268
Alaska,1987,539309
Alaska,1988,541983
Alaska,1989,547159
Alaska,1990,553120
Alaska,1991,569273
Alaska,1992,587073
Alaska,1993,596993
Alaska,1994,600624
Alaska,1995,601345
Alaska,1996,604918
Alaska,1997,608846
Alaska,1998,615205
Alaska,1999,619500
Alaska,2000,627963
Alaska,2001,633714
Alaska,2002,642337
Alaska,2003,648414
Alaska,2004,659286
Alaska,2005,666946
Alaska,2006,675302
Alaska,2007,680300
Alaska,2008,687455
Alaska,2009,698895
Alaska,2010,713910
Alaska,2011,722128
Alaska,2012,730443
Alaska,2013,737068
Alaska,2014,736283
Alaska,2015,737498
Alaska,2016,741456
Alaska,2017,739700
Alaska,2018,735139
Alaska,2019,731545
Alabama,1900,1830000
Alabama,1901,1907000
Alabama,1902,1935000
Alabama,1903,1957000
Alabama,1904,1978000
Alabama,1905,2012000
Alabama,1906,2045000
Alabama,1907,2058000
Alabama,1908,2070000
Alabama,1909,2108000
Alabama,1910,2150000
Alabama,1911,2185000
Alabama,1912,2217000
Alabama,1913,2279000
Alabama,1914,2336000
Alabama,1915,2345000
Alabama,1916,2359000
Alabama,1917,2361000
Alabama,1918,2343000
Alabama,1919,2337000
Alabama,1920,2359000
Alabama,1921,2402000
Alabama,1922,2434000
